,단어,빈도
1454,현,85
1455,생활기록부,85
1456,국방,85
1457,물의,84
1458,자도,84
1459,고려,84
1460,현수막,84
1461,포인트,84
1462,압류,84
1463,청탁,84
1464,광역시,84
1465,우편,84
1466,무직,84
1467,통계,84
1468,신용,83
1469,법원,83
1470,육성,83
1471,노출,83
1472,대부,83
1473,신분,83
1474,일본,83
1475,취급,83
1476,의정부,83
1477,증서,83
1478,해기,83
1479,이외,82
1480,공시지가,82
1481,공부,82
1482,대장,82
1483,평생,82
1484,보급,82
1485,운동장,82
1486,철회,82
1487,회계,82
1488,원칙,82
1489,출항,82
1490,온,82
1491,음주,82
1492,연도,82
1493,풀,82
1494,심판,82
1495,학업,82
1496,시청자,82
1497,좌회전,81
1498,어르신,81
1499,대회,81
1500,친환경,81
1501,입양,81
1502,금연,81
1503,뭐,81
1504,즉,81
1505,행동,81
1506,활성화,81
1507,택배,81
1508,단말기,81
1509,세대주,81
1510,한부모,81
1511,결격,81
1512,학사,81
1513,분석,81
1514,인건비,81
1515,심화,81
1516,점수,81
1517,전기차,80
1518,보이지,80
1519,제발,80
1520,자동차세,80
1521,갑자기,80
1522,가공업,80
1523,존재,80
1524,실내,80
1525,양수,80
1526,인감증명서,80
1527,답,80
1528,불가,80
1529,봉사,80
1530,도란,80
1531,소액,80
1532,금천구,80
1533,교육활동,80
1534,의원,79
1535,온도,79
1536,체크,79
1537,컴퓨터,79
1538,박물관,79
1539,창고,79
1540,봉투,79
1541,보호자,79
1542,게임,79
1543,배달,79
1544,벌금,79
1545,그것,79
1546,아내,79
1547,소송,79
1548,주식,79
1549,여비,79
1550,수감,79
1551,소득공제,79
1552,덕수궁,79
1553,엄마,78
1554,수로,78
1555,시대,78
1556,달리,78
1557,토,78
1558,인상,78
1559,농가,78
1560,회복,78
1561,중개,78
1562,이체,78
1563,밤,78
1564,개통,78
1565,예상,78
1566,차례,78
1567,다만,78
1568,출생신고,78
1569,연료,78
1570,소급,78
1571,한도,78
1572,지불,78
1573,성과,78
1574,양성,78
1575,분교장,78
1576,조업,78
1577,상실,77
1578,두기,77
1579,통제,77
1580,건축법,77
1581,마치,77
1582,생활비,77
1583,진자,77
1584,자율,77
1585,연령,77
1586,임대주택,77
1587,보증금,77
1588,둘,77
1589,역사,77
1590,개념,77
1591,보고서,77
1592,결합,77
1593,꿈,77
1594,진로,77
1595,칙,76
1596,수술,76
1597,운반,76
1598,안심,76
1599,제조업,76
1600,석면,76
1601,목,76
1602,지하수,76
1603,완화,76
1604,자유,76
1605,용품,76
1606,중고,76
1607,원래,76
1608,입대,76
1609,보존,76
1610,얘기,76
1611,즉시,76
1612,수단,76
1613,국외여행,76
1614,누리,76
1615,접속,76
1616,사이버,76
1617,영리,76
1618,접,75
1619,가설,75
1620,주행,75
1621,검정,75
1622,조합,75
1623,주류,75
1624,조속,75
1625,고충,75
1626,부가,75
1627,아동학대,75
1628,분쟁,75
1629,위원장,75
1630,노후,74
1631,체계,74
1632,인적,74
1633,창업,74
1634,상품권,74
1635,중이,74
1636,비상,74
1637,지연,74
1638,조합원,74
1639,연간,74
1640,선출,74
1641,변화,74
1642,소규모,74
1643,예전,74
1644,검역,74
1645,체험학습,74
1646,콘텐츠,74
1647,합병,73
1648,도중,73
1649,바람,73
1650,서식,73
1651,나머지,73
1652,제정,73
1653,지점,73
1654,등등,73
1655,검,73
1656,크기,73
1657,선수,73
1658,준,73
1659,약관,73
1660,책임자,73
1661,밭,72
1662,나이,72
1663,바닥,72
1664,더욱,72
1665,재질,72
1666,지나,72
1667,터미널,72
1668,출근,72
1669,공용,72
1670,요령,72
1671,노선,72
1672,중구,72
1673,구축,72
1674,뉴스,72
1675,편의점,72
1676,정화,72
1677,금제,72
1678,형식,72
1679,가액,72
1680,파견,72
1681,교정,72
1682,공정거래법,72
1683,담임,72
1684,타고,71
1685,지하,71
1686,일로,71
1687,혼인,71
1688,린,71
1689,보기,71
1690,자재,71
1691,고대,71
1692,건강검진,71
1693,인정이,71
1694,박사,71
1695,전형,71
1696,전보,71
1697,출산휴가,71
1698,유류,71
1699,산책로,70
1700,반대,70
1701,끝,70
1702,위촉,70
1703,일반인,70
1704,자연,70
1705,새벽,70
1706,서울특별시,70
1707,보통,70
1708,식물,70
1709,반복,70
1710,아주,70
1711,상이,70
1712,요양,70
1713,수첩,70
1714,부처,70
1715,초등학생,69
1716,눈,69
1717,포털,69
1718,백신,69
1719,우회,69
1720,고생,69
1721,취지,69
1722,여행,69
1723,시공,69
1724,동대문구,69
1725,발굴,69
1726,문의사항,69
1727,둘째,69
1728,식사,69
1729,사용자,69
1730,직렬,69
1731,해운,69
1732,교,68
1733,조기,68
1734,불량,68
1735,토양,68
1736,카메라,68
1737,전시,68
1738,국민신문고,68
1739,이익,68
1740,하라,68
1741,동원,68
1742,진학,68
1743,원서,68
1744,항제,68
1745,반입,68
1746,영주권,68
1747,포항,68
1748,수확,67
1749,매번,67
1750,골목,67
1751,보일러,67
1752,손,67
1753,유료,67
1754,주로,67
1755,자원,67
1756,터,67
1757,모습,67
1758,권한,67
1759,노고,67
1760,서면,67
1761,수선,67
1762,비치,67
1763,현실,67
1764,치유,67
1765,서도,67
1766,디지털,67
1767,예비,67
1768,실무,67
1769,메일,67
1770,국민권익위,67
1771,크게,66
1772,정신,66
1773,취,66
1774,소식,66
1775,미래,66
1776,용기,66
1777,거소,66
1778,납,66
1779,당사자,66
1780,정산,66
1781,여자,66
1782,사기,66
1783,씨,66
1784,당,66
1785,일방,66
1786,귀,66
1787,운전면허,66
1788,기부,66
1789,음악,66
1790,어장,66
1791,군복무,66
1792,상임,66
1793,인접,65
1794,다가,65
1795,사가,65
1796,착공,65
1797,대규모,65
1798,수학,65
1799,면접,65
1800,효력,65
1801,비교,65
1802,경정,65
1803,세법,65
1804,높이,64
1805,드림,64
1806,복구,64
1807,코,64
1808,환자,64
1809,농산물,64
1810,인하,64
1811,개시,64
1812,소재지,64
1813,놀이터,64
